Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Capital Fund to RWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.38%,13.75%,13.79%,12.33%,,13.32%,13.03%,13.39%,12.82%,12.51%,12.51%,12.12%,12.25%,11.95%,13.39%,12.41%,12.22%,,,,
Non-Performing Loan to Total Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18%,0.16%,0.17%,0.16%,,0.22%,0.22%,0.19%,0.12%,0.12%,0.13%,0.26%,0.26%,0.24%,0.33%,0.55%,0.70%,,,,
Total Loan Loss Provision to Total NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.81%,714%,662.96%,707.89%,,682%,737.76%,727.05%,1039.14%,1311%,1227.15%,619.20%,618.10%,676%,486.97%,305.77%,250.30%,,,,
Cost of Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.07%,6.21%,6.38%,6.44%,,6.11%,5.37%,4.70%,4.55%,4.48%,4.97%,5.98%,6.82%,7.31%,7.75%,8.15%,8.09%,,,,
Credit to Deposit Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.69%,75.03%,74.89%,75.04%,,68.57%,70.27%,70.05%,70.05%,72.52%,86.39%,89.83%,,86.04%,86.49%,86.99%,86.82%,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.01%,8.12%,8.52%,8.46%,,8.05%,7.07%,6.34%,6.10%,5.99%,7.00%,7.62%,8.36%,8.82%,9.30%,9.97%,9.94%,,,,
Interest Rate Spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69%,4.29%,5.25%,5.33%,,3.59%,3.94%,3.70%,3.36%,3.24%,2.61%,2.70%,3.55%,4.06%,4.17%,4.38%,4.20%,,,,
Market Share Price ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,666,547,596,,675,711,803,814.00,738,714,604.00,519.00,439.00,504.00,507.00,508.00,,,,
Return on Total Assets ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80%,1.73%,,,0.77%,1.00%,1.04%,0.92%,1.20%,0.83%,0.99%,1.17%,1.66%,1.39%,1.47%,,,,
Return on Equity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.30%,18.13%,16.46%,17.22%,,13.45%,7.08%,9.88%,9.59%,9.30%,11.09%,8.06%,9.50%,11.76%,14.73%,13.41%,13.61%,,,,
Net Worth Per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.16,218.69,227.33,207.04,,219.84,223.32,218.93,235.72,232.58,234.73,221.11,226.27,240.73,247.32,221.39,225.86,,,,
Total Assets Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,818.19","2,101.50","1,911.02","2,058.23",,"2,096.15","2,040.95","2,165.16","2,177.79","2,379.73","2,163.22","2,156.78","2,164.36","2,369.20","2,195.71","2,139.80","2,088.42",,,,
