Particulars, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Total Capital and Liabilities ( 1.1 to 1.7),,,"20,827,709",,4.1,"22,149,701",,,"30,176,073",,,"28,305,829","34,713,739","30,904,877",,,"45,801,710","71,371,181",,"41,884,033","47,541,496","47,199,037","50,104,539","70,903,814","59,514,285","63,608,810","68,055,656","70,903,814","73,091,867","76,989,802","81,983,722","84,735,501",,,,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,569,218","4,112,239",,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"666,917",,,,,,,1,3,,,7,3,6,2,2,2,2,1,2
Deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,735,866",,,",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",","
Domestic Currency,"16,945,032",,,,,"17,101,576",,,,"19,893,727",,,,"24,079,529","25,069,000",,,"55,594,934",,,,"37,597,240","40,609,383",,"48,602,883","52,766,829","55,295,428","56,760,852","56,862,643",,"63,919,573",,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,816,292",,,,,,,,,,,,,,,,,,,
Income Tax Liability,"2,802","2,802",,,,,,,,,,",",1,,8.,7,,2.,8.,,,1,2,,,",",3,"3,635",,,"1,144",,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,,"777,881",,,,"786,799","631,667",,,"1,329,135",,,,,"1,182,922",,,"988,034",,"1,270,363","1,666,491",,"1,390,054",,,,,,1,,1,,1,1,2,1,,,3,1,5,
Total Assets ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81,983,722",,,,,,,,,,,,,,,,,,,
Cash & Bank Balance,"2,774,592","1,221,195","1,229,206",,,"2,627,252","3,681,906","2,529,353","3,465,142","3,171,478","4,701,383","3,471,755","5,331,196","2,012,171","5,335,580","6,225,671","5,005,877","4,576,084","5,054,732","6,719,235","6,365,320","4,288,079","5,094,995","6,120,775","5,215,708","6,752,474","6,324,171","6,120,775","5,119,474","5,004,330","6,139,824",,,,,,,,,,,,,,,,,,,
Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,982,935",,,1,5,1,1,1,2,2,,,,3,,,,3,3,
Loans and Advances ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,
Real Estate Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,716,653",,,,,,,,,,,,,,,,,,,
Other Real Estate Loan (Including Land purchase & Plotting),"822,164",,"1,127,179","1,027,725","534,251","789,294",,"562,827","277,882","466,403","381,672","356,511","137,099","255,103","235,120","207,475","52,489","571,369","104,299","59,220","45,765","32,660","32,661","589,979","10,000","406,002","459,602","589,979","523,358","454,778","442,570",,,,,,,,,,,,,,,,,,,
Margin Type Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,308,064",,,,,,,,,,,,,,,,,,,
Term Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,222,146",,,,,,,,,,,,,,,,,,,
Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,
Fixed Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,241,890",,,,,,,,,,,,,,,,,,,
Non Banking Assets ( Net of provision),2,,,,2,,",",,,,,,2,,,,5,",",,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,
