Particulars,Q4 2076
loan and advances to b/fis,951536.583
loans and advances to customers,29742218.014
current tax liabilities,1546.645
deferred tax liabilities,53589.116
non operating income,20.5
non operating expense,0.0
reserves,1662070.997
borrowings,512610.0
deposits,35439655.113
other liabilities,478301.625
total assets,43281796.218
interest income,1153036.098
interest expense,754133.131
net interest income,398902.967
net fee and commission income,45518.289
total operating income,448657.576
staff expenses,113240.491
operating profit,136792.425
profit for the period,95740.348
capital fund to rwa,11.77
non performing loan to total loan,3.78
total loan loss provision to npl,77.41
cost of fund,8.31
base rate,11.04
net interest spread,5.37
credit to deposit ratio,74.37
debenture and bond,
return on equity,
market share price,
loan and advancements,30693754.597
return on total assets,
non operating income expense,20.5
income tax liability,53589.116
debt ratio,1.18
interest income to assets ratio,2.66
interest income margin,0.92
return on investment,0.22
commission to operating income,10.15
staff expense to income ratio,25.24
net profit margin,21.34
income tax portion of operating profit,55.97
loan to deposit ratio,86.61
