Particulars,Q3 2076
loan and advances to b/fis,1093622.896
loans and advances to customers,29186641.329
current tax liabilities,0.0
deferred tax liabilities,53589.116
non operating income,0.0
non operating expense,0.0
reserves,1408156.68
borrowings,486975.0
deposits,35072692.862
other liabilities,441901.58
total assets,42881649.893
interest income,1118702.736
interest expense,721712.037
net interest income,396990.699
total operating income,468784.138
staff expenses,126573.566
operating profit,276712.833
profit for the period,193698.983
capital fund to rwa,12.54
non performing loan to total loan,2.76
total loan loss provision to npl,93.3
cost of fund,8.44
base rate,11.23
net interest spread,5.33
credit to deposit ratio,74.79
debenture and bond,
return on equity,
market share price,
net fee and commission income,
loan and advancements,30280264.225
return on total assets,
non operating income expense,0.0
income tax liability,53589.116
debt ratio,1.14
interest income to assets ratio,2.61
interest income margin,0.93
return on investment,0.45
commission to operating income,
staff expense to income ratio,27.0
net profit margin,41.32
income tax portion of operating profit,27.67
loan to deposit ratio,86.34
