Particulars,Q1 2079
loan and advances to b/fis,6159622876.0
loans and advances to customers,171797577760.0
current tax liabilities,0.0
deferred tax liabilities,4259747017.0
non operating income,167633538.0
non operating expense,0.0
reserves,17816719.878
borrowings,7304175.0
deposits,196063952.128
other liabilities,5040139.639
total assets,259502396.331
interest income,5232501.951
interest expense,3078793.881
net interest income,2153708.07
net fee and commission income,203446.89
total operating income,2480111001.0
staff expenses,706202641.0
operating profit,1498229695.0
profit for the period,1073153198.0
return on total assets,
credit to deposit ratio,
market share price,
total loan loss provision to npl,
base rate,
capital fund to rwa,
loan and advancements,177957200.636
debenture and bond,
income tax liability,4259747.017
return on equity,
net interest spread,
non operating income expense,167633538.0
cost of fund,
non performing loan to total loan,
debt ratio,2.81
interest income to assets ratio,2.02
interest income margin,0.83
return on investment,0.41
commission to operating income,8.2
staff expense to income ratio,28.47
net profit margin,43.27
income tax portion of operating profit,396.94
loan to deposit ratio,90.76
