Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Capital Fund to RWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.63%,12.88%,13.89%,13.48%,12.80%,13.00%,12.60%,11.96%,11.75%,12.00%,12.65%,12.59%,13.70%,13.47%,13.19%,13.20%,13.13%,,,,
Non-Performing Loan to Total Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48%,0.37%,0.31%,0.45%,0.45%,0.54%,0.42%,0.76%,0.51%,0.62%,0.50%,0.57%,0.87%,0.84%,1.30%,1.41%,2.37%,,,,
Total Loan Loss Provision to Total NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.34%,333.36%,387.30%,279.13%,288.04%,305.96%,396.88%,217.85%,289.68%,285.13%,325.06%,289.29%,198.30%,211.25%,148.69%,151.81%,108.46%,,,,
Cost of Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96%,7.88%,7.57%,7.64%,7.35%,6.71%,6.15%,5.54%,5.10%,5.29%,5.66%,6.78%,7.56%,7.75%,8.42%,8.84%,8.60%,,,,
Credit to Deposit Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.34%,76.98%,77.08%,78.72%,77.65%,73.81%,76.94%,78.53%,80.39%,80.12%,88.10%,88.21%,89.13%,86.16%,86.44%,85.18%,81.87%,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.52%,10.37%,10.56%,10.26%,9.97%,9.21%,8.31%,7.56%,7.09%,7.26%,7.63%,8.79%,9.63%,9.93%,10.36%,11.39%,11.31%,,,,
Interest Rate Spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.57%,4.27%,5.18%,5.24%,5.41%,4.36%,4.33%,4.19%,4.04%,3.82%,3.38%,2.87%,4.19%,4.33%,4.19%,4.25%,4.18%,,,,
Market Share Price ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Total Assets ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Equity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Worth Per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
