Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Capital and Liabilities ( 1.1 to 1.7),,,,,,,,,,,,,,"17,747,836","17,459,569","17,623,916",,,"20,178,314",,,"33,271,954",,1.1,"40,065,622",,"43,293,677","58,951,807",,,"65,450,039","68,805,589",,,,,,,,,,"125,558,244",,,"129,574,081",,,,,,,,,,,,,,,,,,,,,,,
Paid Up Capital,,,,,,,,,,,,,,"1,473,350","1,499,148","1,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,888,376",,,,,,,,,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,,,,,,,,,,"135,561","195,751","221,039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,,,,,,,,,,,,,"400,000",,1.4,"400,000",,"400,000","400,000",,,"400,000","400,000",,,,,,,,,,"400,000",,,"400,000",,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,,"393,330","826,393","497,545",,"15,660",,,,"74,880",,1.5,"107,043",,"336,289","167,014",,,"142,511","89,565",,,,,,,,,,"200,000",,,"200,000",,,,,,,,,,,,,,,,,,,,,,,
Deposits,,,,,,,,,,,,,,"14,943,785",27.62%,28%,,31.47%,27.05%,,,29.54%,,28.59%,"509,274",,31.06%,29.80%,,,28.15%,27.45%,,,,,,,,,,"38,057",,,"31,803",,,,,,,,,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,,,,,,,,"14,689,813","14,083,299","14,341,400",,,"16,879,104",,,"27,414,398",,,"32,936,269",,"35,497,197","47,901,245",,,"54,163,974","56,774,492",,,,,,,,,,"102,481,984",,,"105,088,745",,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,,,,,,"253,972","366,334","364,542",,,"619,342",,,"689,444",,1.6,"1,175,197",,"1,478,568","1,498,158",,,"1,038,641","962,678",,,,,,,,,,"2,620,206",,,"1,742,964",,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,,,,,,,,"37,667","56,766","67,604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,,,,,,"764,143","431,878","631,786",,,"820,457",,,"1,854,227",,2,"2,098,439",,"1,643,404","2,634,782",,,"2,521,437","3,008,758",,,,,,,,,,"7,446,457",,,"5,831,149",,,,,,,,,,,,,,,,,,,,,,,
Total Assets ,,,,,,,,,,,,,,"17,747,836","17,459,569","17,623,916",,,"20,178,314",,,"33,271,954",,2.1,"40,065,622",,"43,293,677","58,951,807",,,"65,450,039","68,805,589",,,,,,,,,,"125,558,244",,,"129,574,081",,,,,,,,,,,,,,,,,,,,,,,
Cash and Bank Balance,,,,,,,,,,,,,,"1,925,883","1,412,453","1,386,007",,,"1,661,122",,,"3,666,387",,2.2,"5,576,054",,"5,764,999","9,041,168",,,"6,843,944","5,973,267",,,,,,,,,,"10,214,191",,,"9,085,955",,,,,,,,,,,,,,,,,,,,,,,
Money at Call and Short Notice,,,,,,,,,,,,,,,"323,300","230,000",,,"323,300",,,"1,343,468",,2.3,"16,085",,"5,216","357,027",,,"54,058","57,060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
