Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080, Q2 2073.PDF, Q1 2074.JPG, Q1 2075.JPG, Q2 2074.JPG, Q2 2075.JPG, Q3 2074.JPG, Q3 2075.JPG, Q4 2074.JPG
Capital Fund to RWA,,,,,,,,,,,,,,,,,,13.57%,13.06%,12.87%,12.75%,10.55%,11.16%,11.30%,11.89%,10.68%,11.28%,11.32%,11.71%,11.75%,11.39%,10.76%,11.18%,10.77%,11.27%,11.00%,11.98%,,12.17%,12.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.91%,15.23%,,14.32%,12.99%,14.42%,13.04%,14.57%
Non-Performing Loan to Total Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Loan Loss Provision to Total NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Funds,,,,,,,,,,,,,,,,,,9.99%,9.54%,9.53%,9.34%,7.16%,6.68%,6.48%,6.49%,6.47%,6.03%,5.74%,5.61%,4.82%,4.68%,4.71%,5.15%,5.09%,4.92%,4.68%,4.52%,,4.60%,5.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.36%,6.00%,7.47%,7.30%,,7.32%,,7.40%
Credit to Deposit Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.47%,,77.56%,,76.02%,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,9.50%,10.21%,10.29%,9.85%,8.98%,8.72%,8.62%,8.30%,7.48%,7.87%,8.36%,7.99%,7.45%,6.86%,6.86%,,7.57%,9.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.79%,11.19%,11.39%,10.82%,10.97%,10.96%,10.63%,11.34%
Interest Rate Spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Share Price ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Total Assets ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Equity ,,,,,,,,,,,,,,,,,,6.44%,3.53%,4.76%,6.40%,8.26%,11.22%,12.42%,12.96%,14.59%,15.41%,13.34%,11.18%,12.82%,16.78%,14.10%,14.04%,13.32%,18.13%,18.01%,15.49%,,18.05%,15.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.83%,12.71%,11.85%,8.44%,,11.58%,,11.99%
Net Worth Per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
