Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Capital and Liabilities ( 1.1 to 1.7),,,,,,,,,,,"7,258,958",,,,,,,,,,,"15,701,905",,,"21,976,068",,"23,376,656","24,944,549",,,,,"40,272,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paid Up Capital,,,,,,,,,,,"806,400",,,,,,,,,,,"2,016,000",,,"2,016,000",,"2,217,600","2,217,600",,,,,"2,550,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,,,,,,,"106,497",,,,,,,,,,,"167,827",,,"418,530",,"400,798","527,254",,,,,"887,353",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,"786,000",,,,,,,,,,,"422,250",,,"1,480,126",,"355,000","1,139,402",,,,,"1,687,185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deposits,,,,,,,,,,,"5,490,838",,,,,,,,,,,26.28,,,30.97,,22.54,21.05,,,,,22.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,,,,,"4,967,208",,,,,,,,,,,"12,614,135",,,"17,597,223",,"19,091,084","19,230,462",,,,,"31,784,223",,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,,,"523,630",,,,,,,,,,,"131,924",,,"185,493",,"798,850","1,130,429",,,,,"2,261,094",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,,,,,"2,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,,,"67,046",,,,,,,,,,,"349,770",,,"278,695",,"513,324","699,402",,,,,"1,102,373",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets ,,,,,,,,,,,"7,258,958",,,,,,,,,,,1.36,,,"1,090.08",,"1,054.14","1,124.84",,,,,"1,579.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Bank Balance,,,,,,,,,,,"323,068",,,,,,,,,,,"1,709,780",,,"1,685,501",,"1,887,145","1,537,648",,,,,"1,771,031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Money at Call and Short Notice,,,,,,,,,,,"686,765",,,,,,,,,,,,,,"364,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investments,,,,,,,,,,,"857,999",,,,,,,,,,,"1,734,497",,,"3,848,052",,"3,164,745","3,383,204",,,,,"7,744,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loans and Advances ,,,,,,,,,,,"5,010,239",,,,,,,,,,,"11,636,960",,,"15,093,073",,"17,170,783","18,251,411",,,,,"28,229,003",,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Estate Loan,,,,,,,,,,,"1,065,963",,,,,,,,,,,,,,"575,304",,,,,,,,"972,660",,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential Real Estate Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Complex and Residential Apartment Construction Loan,,,,,,,,,,,,,,,,,,,,,,,,,"127,243",,,,,,,,"561,605",,3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Generating Commercial Complex Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,346",,4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Real Estate Loan (Including Land purchase and Plotting),,,,,,,,,,,,,,,,,,,,,,,,,"575,304",,,,,,,,"972,660",,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margin Type Loan,,,,,,,,,,,"166,702",,,,,,,,,,,"57,744",,,"43,841",,"28,540","61,691",,,,,"381,614",,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Term Loan,,,,,,,,,,,"364,252",,,,,,,,,,,"1,878,673",,,"2,620,056",,"2,822,708","2,857,361",,,,,"4,445,878",,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overdraft Loan /TR Loan /Working Capital Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,,,,,"31,095",,,,,,,,,,,"39,347",,,"161,070",,"96,727","146,527",,,,,"272,235",,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Assets,,,,,,,,,,,"242,368",,,,,,,,,,,"482,131",,,"469,461",,"488,842","498,399",,,,,"615,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Banking Assets ( Net of provision),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Assets,,,,,,,,,,,"138,519",,,,,,,,,,,"138,538",,,"515,560",,"665,141","1,273,886",,,,,"1,913,017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit and Loss Account,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,,,,,,,,,,,"93,787",,,,,,,,,,,"138,623",,,"655,532",,"362,785","579,121",,,,,"1,139,390",,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense,,,,,,,,,,,"166,235",,,,,,,,,,,"230,095",,,"1,023,257",,"608,677","890,369",,,,,"1,409,494",,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income ( 3.1-3.2),,,,,,,,,,,"93,787",,,,,,,,,,,"138,623",,,"655,532",,"362,785","579,121",,,,,"1,139,390",,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fees, Commission and Discounts",,,,,,,,,,,"1,080",,,,,,,,,,,"4,184",,,"23,668",,"17,056","29,012",,,,,"53,493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Income,,,,,,,,,,,"19,214",,,,,,,,,,,"27,468",,,"71,451",,"37,948","57,375",,,,,"131,655",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreign Exchange Gain/Loss,,,,,,,,,,,"4,707",,,,,,,,,,,"2,612",,,"27,237",,"75,966","115,126",,,,,"178,826",,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
